,Hindi
484," 
           ओ हिलेगी कुर्सी डोलेगा शासन
           
           डग डग डग डग जनता रॉक्स
           
           अब बात करेगी जनता रॉक्स
           
           जाग उठी है जनता रॉक्स
           
           बात करेगी जाग उठी
           
           अब राज करेगी होए ..
          
          "
485,"
           हम्म हम्म हम्म
           
           जाओ तुम चाहे जहाँ, याद करोगे वहाँ
           
           के एक लड़का दुनिया में है
           
           जो दे सकता है तुमपे जां
           
            आ आ
           
           
            जाओ तुम चाहे जहाँ, याद करोगे वहाँ
            
            जाओ तुम चाहे जहाँ, याद करोगे वहाँ
            
            के एक लड़का दुनिया में है
            
            जो दे सकता है तुमपे जां
            
            जाओ तुम चाहे जहाँ, याद करोगे वहाँ
            
            जाओ तुम चाहे जहाँ, याद करोगे वहाँ
           
           
            मैंने ज़िंदगी में सिर्फ़ तुमसे प्यार किया
            
            लेकिन तुमसे कभी ना पूरी तरह इकरार किया
            
            मैंने ज़िंदगी में सिर्फ़ तुमसे प्यार किया
            
            लेकिन तुमसे कभी ना पूरी तरह इकरार किया
           
           
            दिल में छुपाए हूँ मैं कितनी उमंगे जवाँ
            
            जाओ तुम चाहे जहाँ, याद करोगे वहाँ
            
            के एक लड़का दुनिया में है
            
            जो दे सकता है तुमपे जां
            
            जाओ तुम चाहे जहाँ, याद करोगे वहाँ
           
           
            पिघले ग़म के बादल
            
            निकली है चमकीली धूप
            
            मैंने देखा नहीं था
            
            ज़िंदगी का ऐसा रूप
           
           
            पिघले ग़म के बादल
            
            निकली है चमकीली धूप
            
            मैंने देखा नहीं था
            
            ज़िंदगी का ऐसा रूप
           
           
            गीत हवाओं में है
            
            झूम रहा है समा
            
            जाओ तुम चाहे जहाँ, याद करोगे वहाँ
            
            के एक लड़की दुनिया में है
            
            जो दे सकती है तुमपे जां
            
            जाओ तुम चाहे जहाँ, याद करोगे वहाँ
           
           
            आओ मेरे दिल में धड़कनों में तुम रहो
           
           
            अब तो मेरी महबूब होगा वही जो तुम कहो
           
           
            आओ मेरे दिल में धड़कनों में तुम रहो
           
           
            अब तो मेरी महबूब होगा वही जो तुम कहो
           
           
            सीने में हलचल सी है
           
           
            सासों में है आँधियाँ
            
            जाओ तुम चाहे जहाँ, याद करोगे वहाँ
            
            के एक लड़का दुनिया में है
            
            जो दे सकता है तुमपे जां
            
            के एक लड़की दुनिया में है
            
            जो दे सकती है तुमपे जां
           
           
            जाओ तुम चाहे जहाँ, जाओ तुम चाहे जहाँ
            
            याद करोगे वहाँ, याद करोगे वहाँ
            
            जाओ तुम चाहे जहाँ, जाओ तुम चाहे जहाँ
            
            याद करोगे वहाँ, याद करोगे वहाँ
           
           
            आ.. आ.. आ ..
           
           "
486," 
           जश्न-ए-इश्क़ा…
          
          
           [दौर-ए-इश्क़ा एक जश्न है
           
           लेकिन अपना अलग टशन है
           
           ख़ून में सुलगी एक अगन है
           
           बह के दिखलायेगा ये तेवर]x २
          
          
           [चाहत के दर पे
           
           दिल का धरना है
           
           ना मर के जीना
           
           जी के मरना है]x २
          
          
           तूफ़ान के हमदम
          
          
           अंगारे के हमदम
           
           धड़कन में थोड़ा सा
           
           बारूद है ख्वाहिश काजश्न-ए-इश्क़ा… जश्न-ए-इश्क़ा…
          
          
           [लोहा जुग, हम आरी
           
           सब पे हैं हम भारी
           
           आधा जग से याराना है
           
           आधी रब से यारी]x २
          
          
           चलता है सिक्का
           
           हुक्मों का इक्का
           
           बनता अपना हर दिन
           
           है शोला सा इश्क़ा
          
          
           जश्न-ए-इश्क़ा… जश्न-ए-इश्क़ा…
          
          
           [दिल कि भट्टी डाले
           
           ग़म के कोयले काले
           
           लोगों कि बातों से लाखों
           
           रूह पे पड़ गए छाले]x २
          
          
           ज़ख्मों को सहला
           
           ये दिल ना बहला
           
           दिल भी जैसे एक तार
           
           है अपनी ही गर्दिश का
           
           जश्न-ए-इश्क़ा…
          
          
           
            Also See:
           
           
            Other Songs of
            
             Gunday
            
           
          
          "
487,"
           (जाती हूँ मैं
           
           जल्दी है क्या
           
           धड़के जिया
           
           वो क्यूँ भला) x 2
           
            खुद से ही डरने लगी हूँ
            
            मैं प्यार करने लगी हूँ
           
           
            खुद से जो इतना डरोगी
            
            तुम प्यार कैसे करोगी
           
           
            जाती हूँ मैं
            
            जल्दी है क्या
            
            धड़के जिया
            
            वो क्यूँ भला
           
           
            (जादू तेरे जिस्म का
            
            तेरी और खींचे मुझे
            
            काबू न खुद पे रहे
            
            जब-जब मैं देखूँ तुझे) x 2
           
           
            कदम बहक जायेंगे
            
            ये क्यूँ तुमने सोचा
            
            क्या मेरी चाहत पे तुमको नहीं भरोसा
           
           
            तुम पर मुझको यकीं है
            
            खुद पर यकीं नहीं
           
           
            जाती हूँ मैं
            
            जल्दी है क्या
            
            धड़के जिया
            
            वो क्यूँ भला
           
           
            खुद से ही डरने लगी हूँ
            
            मैं प्यार करने लगी हूँ
           
           
            खुद से जो इतना डरोगी
            
            तुम प्यार कैसे करोगी
           
           
            जाती हूँ मैं
            
            जल्दी है क्या
            
            धड़के जिया
            
            वो क्यूँ भला
           
           
            ले के तेरे लब की लाली
            
            जीवन को रंगीं करेंगे
            
            आँखों में तुझको भरेंगे
            
            कल तक तभी जी सकेंगे
           
           
            हो ले के तेरे लब की लाली
            
            जीवन को रंगीं करेंगे
            
            आँखों में तुझको भरेंगे
            
            कल तक तभी जी सकेंगे
           
           
            खुद को संभाले रखिये
            
            मुझको संभलने दीजिये
           
           
            होश मैं अपने खो दूँ
            
            इतना प्यार ना दीजिये
           
           
            प्यार है दीवानापन
            
            होश का काम नहीं
           
           
            जाती हूँ मैं
            
            जल्दी है क्या
            
            धड़के जिया
            
            वो क्यूँ भला
           
           
            खुद से ही डरने लगी हूँ
            
            मैं प्यार करने लगी हूँ
           
           
            खुद से जो इतना डरोगी
            
            तुम प्यार कैसे करोगी
           
           
            जाती हूँ मैं
            
            जल्दी है क्या
            
            धड़के जिया
            
            वो क्यूँ भला
           
           
            जाती हूँ मैं
            
            न न न न ना
            
            हूँ.. हूँ.. हूँ..
            
            ला ला ला ल ला..
           
           "
488," 
           ओये होए जवानी ले डूबी
           
           [आये हाय जवानी ले डूबी ] x ३
          
          
           ओये होए जवानी ले डूबी
           
           आये हाय जवानी ले डूबी
           
           ओये होए जवानी ले डूबी
           
           आये हाय जवानी ले डूबी
          
          
           जिसको देखूं उसपे ही
           
           जांदी चिपक मेरी नज़र
           
           कोई न्यू आइटम मिले
           
           डे नाईट रहना है फिगर
          
          
           ओ दिन बड़े मिल जाते ओये मखना
           
           ओ दिन बड़े मिल जाते ओये मखना
           
           तेरे हुस्न का जायका है चखना
          
          
           ओये होए जवानी ले डूबी
           
           आये हाय जवानी ले डूबी
           
           ओये होए जवानी ले डूबी
           
           आये हाय जवानी ले डूबी
          
          
           तेरा रूप हाई फाई मैं हूँ नॉटी बॉय
           
           फुल नाईट करेंगे एन्जॉय
           
           लो मन पहन मैं लगूंगुड लूकिंग
           
           चल इक दूजे में खो जाएँ
          
          
           तू अखियों को कर ज़ूम ज़ूम
           
           मेरे दायें बाएं घूम
           
           अपनी इन् निशाचर नज़रों से
           
           मरी चिकनी कमर ना चूम
          
          
           इस दिल की सोच है हाय
           
           इस दिल डर्टी सोच है
           
           पर दिल की सुनु तो मौज है
          
          
           [ओये होए जवानी ले डूबी\xa0] x ४
          
          
           ओये होए जवानी ले डूबी
           
           आये हाय जवानी ले डूबी
           
           ओये होए जवानी ले डूबी
           
           आये हाय जवानी ले डूबी
          
          
          
          "
489,"
           आ..
           
           तेरे इश्क दी चार दिवारी विच
           
           मेनू जी लें दे
           
           मेनू जी लें दे
           
           अंखा दे तेरे पैमाने नु
           
           मेनू पी लें दे
           
           मेनू पी लें दे
           
            रश्म रिवाज़ा नु छोड़ के आजा
            
            मेरे वल रुख मोड़ के आजा
            
            आजा ना आजा सब छोड़ के आजा
            
            तेरी रूह तो निकलियाँ गल्ला नु
            
            मेनू सुन लें दे
            
            मेनू सुन लें दे
           
           
            मेरी सुबह तेरे तो शुरू होवे
            
            मेरी शाम तेरे तो ढले
            
            आ..
            
            मेरी गल्ला विच तू रेह्न्दी है
            
            www.hinditracks.in
            
            मेरे सा तेरे तो चलें
            
            मेरे हांथा दी लकीरा विच
            
            तेरा ना लिख लें दे
            
            हाय तेरा ना लिख लें दे
           
           
            तैनू सुख मिले सारी दुनिया दे
            
            गम मेरे हो लें दे
            
            आ..
            
            लवते तेरे खुशियाँ होण
            
            दुआ मंग लें दे
            
            हुण ज़िन्दगी जिन्नी हो मेरी
            
            तेरा नाम ले लें दे
            
            तेरा नाम ले लें दे
            
            तेरे इश्क दी चार दिवारी विच
            
            मेनू जी लें दे
            
            मेनू जी लें दे
            
            अंखा दे तेरे पैमाने नु
            
            मेनू जी लें दे
            
            मेनू जी लें दे
           
           
            रश्म रिवाज़ा नु छोड़ के आजा
            
            मेरे वाल रुख मोड़ के आजा
            
            आजा ना आजा सब छोड़ के आजा
            
            तेरी रूह तो निकलियाँ गल्ला नु
            
            मेनू सुन लें दे
            
            मेनू सुन लें दे
           
           "
490,"
           हूँ हूँ.. हूँ हूँ..
           
            (दहलीज़ पे मेरे दिल की
            
            जो रखे हैं तूने क़दम
            
            तेरे नाम पे मेरी ज़िन्दगी
            
            लिख दी मेरे हमदम
            
            हाँ सीखा मैंने जीना जीना कैसे जीना
            
            हाँ सीखा मैंने जीना\xa0मेरे हमदम
            
            ना सीखा कभी\xa0जीना जीना कैसे जीना
            
            ना सीखा जीना तेरे बिना\xa0हमदम)x २
            
            
            हूँ हूँ.. हूँ हूँ..
           
           
            (सच्ची सी हैं ये तारीफें
            
            दिल से जो मैंने करीं हैं)x २
            
            
            जो तू मिला तो सजी हैं\xa0दुनिया मेरी हमदम
            
            हो आसमां मिला ज़मीन को मेरी
            
            आधे-आधे पूरे हैं गम
            
            तेरे नाम\xa0\xa0पे मेरी ज़िन्दगी
            
            लिख दी मेरे हमदम
            
            हाँ सीखा मैंने जीना जीना कैसे जीना
            
            हाँ सीखा मैंने जीना\xa0मेरे हमदम
            
            ना सीखा कभी\xa0जीना जीना कैसे जीना
            
            ना सीखा जीना तेरे बिना\xa0हमदम
            
            हूँ हूँ.. हूँ हूँ..
           
           "
491," 
           क्यूँ इतनो में तुझको ही चुनता हूँ हर पल
           
           क्यूँ तेरे ही ख्वाब अब बुनता हूँ हर पल
           
           तेरे ही ख्वाब अब बुनता हूँ हर पलतूने मुझे जीने का हुनर दिया
           
           ख़ामोशी से सहने का सबर दिया
           
           तू ही भरोसा ज़िन्दगी का
           
           तू है मेरा होंसला
           
           मुझे जीना सिखा दिया
           
           मरना सिखा दिया
           
           तेरी वफाओं ने तुमसा बना दिया
          
          
           जीना सिखा दिया, मरना सिखा दिया
           
           तेरी वफाओं ने तुमसा बना दिया
          
          
           [तेरे ख्यालों में हो गयी गुम
           
           ये मेरी तनहाइयाँ
           
           अब रूह मेरी करने लगी है
           
           तेरी निगेहबानियाँ ] x २
          
          
           तू ही भरोसा ज़िन्दगी का
           
           तू है मेरा होंसला
           
           मुझे जीना सिखा दिया, मरना सिखा दिया
           
           तेरी वफाओं ने तुमसा बना दिया
          
          
           जीना सिखा दिया, मरना सिखा दिया
           
           तेरी वफाओं ने तुमसा बना दिया
          
          
           [बंधने लगे हैं रिश्तों के धागे
           
           तेरे मेरे दरमियाँ
           
           थोड़े सुकून में रहने लगी हैं
           
           ये मेरी बेचैनियाँ ] x २
          
          
           तू ही भरोसा ज़िन्दगी का
           
           तू है मेरा होंसला
           
           मुझे जीना सिखा दिया, मरना सिखा दिया
           
           तेरी वफाओं ने तुमसा बना दिया
          
          
           जीना सिखा दिया, मरना सिखा दिया
           
           तेरी वफाओं ने तुमसा बना दिया
          
          
           English Lyrics of Jeena Marna:
          
          
           Kyun itno mein tujhko hi chunta hoon har pal
           
           Kyun tere hi khwaab ab bunta hoon har pal
           
           Kyun itno mein tujhko hi chunta hoon har pal
           
           Tere hi khwaab ab bunta hoon har palTune mujhe jeene ka hunar diya
           
           Khamoshi se sehne ka sabar diya
           
           Tu hi bharosa zindagi ka
           
           Tu hai mera honsla
           
           Mujhe jeena sikha diya
           
           Marna sikha diya
           
           Teri wafaaon ne tumsa bana diya
          
          
           Jeena sikha diya
           
           Marna sikha diya
           
           Teri wafaaon ne tumsa bana diya
          
          
           Tere khayalon mein ho gayi gum
           
           Ye meri tanhaiyaan
           
           Ab rooh meri karne lagi hai
           
           Teri nigehbaaniyan
           
           Tere khayalon mein ho gayi gum
           
           Ye meri tanhaiyaan
           
           Ab rooh meri karne lagi hai
           
           Teri nigehbaaniyan
          
          
           Tu hi bharosa zindagi ka
           
           Tu hai mera honsla
           
           Mujhe jeena sikha diya
           
           Marna sikha diya
           
           Teri wafaaon ne tumsa bana diya
          
          
           Jeena sikha diya
           
           Marna sikha diya
           
           Teri wafaaon ne tumsa bana diya
          
          
           Bandhne lage hain rishton ke dhaage
           
           Tere mere darmiyaan
           
           Thode sukoon mein rehne lagi hain
           
           Ye meri bechainiyaan
           
           Bandhne lage hain rishton ke dhaage
           
           Tere mere darmiyaan
           
           Thode sukoon mein rehne lagi hain
           
           Ye meri bechainiyaan
          
          
           Tu hi bharosa zindagi ka
           
           Tu hai mera honsla
           
           Mujhe jeena sikha diya
           
           Marna sikha diya
           
           Teri wafaaon ne tumsa bana diya
          
          
           Jeena sikha diya
           
           Marna sikha diya
           
           Teri wafaaon ne tumsa bana diya
          
          "
492," 
           जीना यहाँ मरना यहाँ, इसके सिवा जाना कहाँ
           
           जीना यहाँ मरना यहाँ, इसके सिवा जाना कहाँ
           
           जी चाहे जब हमको आवाज़ दो
           
           हम हैं वहीँ हम थे जहां
           
           अपने यहीं दोनों जहाँ
           
           इसके सिवा जाना कहाँ
           
           ये मेरा गीत जीवन संगीत
           
           कल भी कोई दोहराएगा
          
          
           ये मेरा गीत जीवन संगीत
           
           कल भी कोई दोहराएगा
           
           जग को हंसाने बहरूपिया
           
           रूप बदल फिर आएगा..
          
          
           जीना यहाँ मरना यहाँ, इसके सिवा जाना कहाँ
           
           जीना यहाँ मरना यहाँ, इसके सिवा जाना कहाँ
          
          
           स्वर्ग यहीं नर्क यहाँ
           
           इसके सिवा जाना कहाँ
          
          
           जी चाहे जब हमको आवाज़ दो
           
           हम हैं वहीँ हम थे जहां
           
           अपने यहीं दोनों जहाँ
           
           इसके सिवा जाना कहाँ..
          
          
           कल खेल में हम हो न हो
           
           गर्दिश में तारे रहेंगे सदा
           
           कल खेल में हम हो न हो
           
           गर्दिश में तारे रहेंगे सदा
           
           भूलेंगे हम भूलोगे तुम
           
           पर हम तुम्हारे रहेंगे सदा
           
           रहेंगे यहीं अपने निशान
           
           इसके सिवा जाना कहाँ
          
          
           जी चाहे जब हमको आवाज़ दो
           
           हम हैं वहीँ हम थे जहां
           
           अपने यहीं दोनों जहाँ
           
           इसके सिवा जाना कहाँ..
          
          
           कल खेल में हम हो न हो
           
           गर्दिश में तारे रहेंगे सदा
          
          
           कल खेल में हम हो न हो
           
           गर्दिश में तारे रहेंगे सदा
           
           भूलेंगे हम भूलोगे तुम
           
           पर हम तुम्हारे रहेंगे सदा
          
          
           अपने यहीं दोनों जहाँ
           
           इसके सिवा जाना कहाँ..
          
          
           जीना यहाँ मरना यहाँ, इसके सिवा जाना कहाँ
           
           जीना यहाँ मरना यहाँ, इसके सिवा जाना कहाँ
          
          "
493,"
           हो हो..
           
            जीने भी दे दुनिया हमें
            
            इल्ज़ाम ना लगा
            
            इक बार तो करते हैं सब
            
            कोई हसीं खता
            
            वरना कोई कैसे भला
            
            चाहे किसी को बेपनाह
            
            ऐ ज़िन्दगी तू ही बता
            
            क्यों इश्क़ है गुनाह
           
           
            जीने भी दे दुनिया हमें
            
            इल्ज़ाम ना लगा
            
            इक बार तो करते हैं
            
            सब कोई हसीं खता
           
           
            (खुद से ही करके गुफ्तगू
            
            कोई कैसे जीये
            
            इश्क़ तो लाज़मी सा है
            
            ज़िन्दगी के लिए) x २
           
           
            दिल क्या करे
            
            दिल को अगर अच्छा लगे कोई
            
            झूठा सही
            
            दिल को मगर सच्चा लगे कोई
           
           
            जीने भी दे दुनिया हमें
            
            इल्ज़ाम ना लगा
            
            इक बार तो करते हैं सब
            
            कोई हसीं खता
            
            वरना कोई कैसे भला
            
            चाहे किसी को बेपनाह
            
            www.hinditracks.in
            
            ऐ ज़िन्दगी तू ही बता
            
            क्यों इश्क़ है गुनाह
           
           
            (दिल को भी उड़ने के लिए
            
            आसमां चाहिए
            
            खुलती हो जिनमे खिड़किया
            
            वो मकां चाहिए) x २
           
           
            दरवाज़े से निकले ज़रा
            
            बहार को रहगुज़र
            
            हर मोड़ पे जो साथ हो
            
            ऐसा हो हमसफ़र
           
           
            जीने भी दे दुनिया हमें
            
            इल्ज़ाम ना लगा
            
            इक बार तो करते हैं सब
            
            कोई हसीं खता
            
            वरना कोई कैसे भला
            
            चाहे किसी को बेपनाह
            
            ऐ ज़िन्दगी तू ही बता
            
            क्यों इश्क़ है गुनाह
           
           "
494," 
           जीने के हैं चार दिन बाकी हैं बेकार दिन
           
           हे जीने के हैं चार दिन बाकी हैं बेकार दिन
          
          
           जाए जाए जाए जाए
           
           एक बार जो जाए
           
           जवानी फिर ना आये
           
           हे हे जवानी फिर ना आये
          
          
           जीने के हैं चार दिन बाकी हैं बेकार दिन
           
           हे जीने के हैं चार दिन बाकी हैं बेकार दिन
          
          
           जाए जाए जाए जाए
           
           एक बार जो जाए
           
           जवानी फिर ना आये
           
           हे हे जवानी फिर ना आये
          
          
           मेरे बारे में क्या हैं सोचती
           
           दुश्मन ना समझ कर ले दोस्ती
           
           चल बाजू हट, जाने भी दे
           
           ऐसे ना तू मुझको सता
           
           जाना इतना तेवर है बुरा
          
          
           जीने के हैं चार दिन बाकी हैं बेकार दिन
           
           हे जीने के हैं चार दिन बाकी हैं बेकार दिन
          
          
           जाए जाए जाए जाए
           
           एक बार जो जाए
           
           जवानी फिर ना आये
           
           हे हे जवानी फिर ना आये
          
          
           पल पल का मज़ा ले ले जाने जा
           
           जो हैं आज है कल तो आये ना
           
           लगता मुझे दीवाना तू
           
           तेरा मेरा क्या वास्ता
           
           ऐसे ना छोडूं तेरा रास्ता
          
          
           जीने के हैं चार दिन बाकी हैं बेकार दिन
           
           हे जीने के हैं चार दिन बाकी हैं बेकार दिन
          
          
           जाए जाए जाए जाए
           
           एक बार जो जाए
           
           जवानी फिर ना आये
           
           हे हे जवानी फिर ना आयेहे हे जवानी फिर ना आये
           
           हे हे जवानी फिर ना आये
           
           हे हे जवानी फिर ना आये
          
          
          
          "
495,"
           जीने लगा हूँ, पहले से ज़्यादा
           
           पहले से ज़्यादा, तुमपे मरने लगा हूँ
           
            मैं मेरा दिल और तुम हो यहाँ
            
            फिर क्यूँ हो पलकें झुकाए वहाँ
            
            तुम सा हसीं पहले देखा नहीं
            
            तुम इससे पहले थे जाने कहाँ
           
           
            जीने लगा हूँ, पहले से ज़्यादा
            
            पहले से ज़्यादा, तुमपे मरने लगा हूँ
            
            हम्म…हो…
           
           
            रहते हो आके जो तुम पास मेरे
            
            थम जाए पल ये यहीं
            
            बस मैं ये सोचूं
            
            सोचूं मैं थम जाए पल ये
            
            पास मेरे जब हो तुम
            
            सोचूं मैं थम जाए पल ये
            
            पास मेरे जब हो तुम
           
           
            चलती है सांसें पहले से ज़्यादा
            
            पहले से ज्यादा, दिल ठहरने लगा
            
            हम्म…. हो….
           
           
            तन्हाइयों में तुझे ढूंढे मेरा दिल
            
            हर पल ये तुझको ही, सोचे भला क्यूँ
            
            तन्हाई में ढूंढें तुझे दिल
            
            हर पल तुझको सोचे
            
            तन्हाई में ढूंढें तुझे दिल
            
            हर पल तुझको सोचे
            
            मिलने लगे दिल, पहले से ज़्यादा
            
            पहले से ज़्यादा, इश्क़ होने लगा…
            
            हम्म.. हो..
           
           "
496,"
           हो हो हो हो हो…
           
           ओ हो हो… आ हा आ आ…
           
            [जीता था जिसके लिए जिसके लिए मरता था]x २
           
           
            [इक ऐसी लडकी थी, जिसे मैं प्यार करता था]x २
           
           
            जीता था जिसके लिए जिसके लिए मरता था
            
            इक ऐसी लडकी थी, जिसे मैं प्यार करता था
           
           
            कितनी मुहब्बत है मेरे दिल में, कैसे दिखाऊँ उसे
            
            कैसे दिखाऊँ उसे…
            
            दीवानगी ने पागल किया है, कैसे बताऊँ उसे
            
            कैसे बताऊँ उसे…
            
            मिटाने से भी ना मिटेगी मेरी दास्ताँ
           
           
            [इक ऐसी लडकी थी, जिसे मैं प्यार करता था]x २
           
           
            दोस्त, तुम भी गाओ ना, तुम्हारी आवाज़ मुझे कुछ
            
            याद दिलाती है,गाओ ना
           
           
            हो हो हो हो हो आ आ आ…
            
            मेरी नज़र में, मेरे जिगर में, तस्वीर है यार की
            
            तस्वीर है यार की…
            
            मेरी ख़ुशी क्या, ये ज़िन्दगी क्या, सौगात है प्यार की
            
            सौगात है प्यार की…
            
            उसी के लिए है मेरे तो, ये दोनों जहां
           
           
            [इक ऐसा लड़का था, जिसे मैं प्यार करती थी]x २
           
           
            जीती थी जिसके लिए जिसके लिए मरती थी
            
            इक ऐसा लड़का था, जिसे मैं प्यार करती थी
           
           
            लगता है तुमने भी प्यार किया था
            
            कहीं, कहीं तुमने, सपना की तरह धोखा तो नहीं दिया
           
           
            जां से भी ज्यादा, चाहा था जिसको, उसने ही धोखा दिया
            
            उसने ही धोखा दिया…
            
            नादान थी जो कुछ भी न समझी, चाहत को रुसवा किया
            
            चाहत को रुसवा किया…
            
            बना के उसी ने उजाड़ा, मेरा आशियाँ
           
           
            वो कैसी लड़की थी, जिसे तू प्यार करता था
            
            इक ऐसी लडकी थी, जिसे मैं प्यार करता था
           
           
            जीती थी जिसके लिए जिसके लिए मरती थी
            
            इक ऐसा लड़का था, जिसे मैं प्यार करती थी
           
           
            इक ऐसा लड़का है, जिसे मैं प्यार
           
           "
497,"
           जीवन से भरी तेरी आँखें
           
           मजबूर करें जीने के लिए
           
           जीने के लिए
           
           सागर भी तरसते रहते हैं
           
           तेरे रूप का रस पीने के लिए
           
           पीने के लिए
           
           जीवन से भरी तेरी आँखें
           
            तस्वीर बनाये क्या कोई
            
            क्या कोई लिखे तुझपे कविता..
            
            रंगों छंदों में समाएगी
            
            रंगों छंदों में समाएगी
            
            किस तरह से इतनी सुंदरता, सुंदरता
           
           
            इक धड़कन है तू दिल के लिए
            
            एक जान है तू जीने के लिए
            
            जीने के लिए
            
            जीवन से भरी तेरी आँखें
           
           
            मधुबन की सुगंध है साँसों में
            
            बाहों में कमल की कोमलता..
            
            किरणों का तेज है चेहरे पे
            
            www.hinditracks.in
            
            किरणों का तेज है चेहरे पे
            
            हिरणों की है तुझमें चंचलता, चंचलता
           
           
            आँचल का तेरे है तार बहुत
            
            कोई चाक जिगर सीने के लिए
            
            सीने के लिए
           
           
            जीवन से भरी तेरी आँखें
            
            मजबूर करें जीने के लिए
            
            जीने के लिए
            
            जीवन से भरी तेरी आँखें
           
           "
